time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,-0.000012,-0.000002,-0.002440
0.010000,-0.000000,-0.000025,-0.000023,-0.004583
0.015000,-0.000000,-0.000054,-0.000080,-0.003789
0.020000,-0.000001,-0.000073,-0.000184,-0.007389
0.025000,-0.000002,-0.000114,-0.000326,-0.006323
0.030000,-0.000004,-0.000142,-0.000486,-0.005803
0.035000,-0.000007,-0.000174,-0.000638,-0.004672
0.040000,-0.000011,-0.000191,-0.000760,-0.004020
0.045000,-0.000015,-0.000212,-0.000837,-0.003884
0.050000,-0.000019,-0.000224,-0.000858,-0.000830
0.055000,-0.000023,-0.000233,-0.000815,-0.003662
0.060000,-0.000027,-0.000251,-0.000715,-0.004808
0.065000,-0.000030,-0.000275,-0.000567,-0.006498
0.070000,-0.000033,-0.000301,-0.000370,-0.005310
0.075000,-0.000034,-0.000325,-0.000116,-0.002654
0.080000,-0.000033,-0.000330,0.000195,0.000721
0.085000,-0.000031,-0.000324,0.000555,0.000950
0.090000,-0.000027,-0.000312,0.000938,0.002729
0.095000,-0.000022,-0.000297,0.001311,0.001169
0.100000,-0.000014,-0.000289,0.001642,0.001788
0.105000,-0.000005,-0.002786,0.001927,0.108701
0.110000,0.000005,-0.002348,0.002148,0.107896
0.115000,0.000016,-0.001708,0.002251,0.106520
0.120000,0.000028,-0.001283,0.002162,0.105458
0.125000,0.000037,-0.000645,0.001812,0.107643
0.130000,0.000045,-0.000213,0.001153,0.107622
0.135000,0.000048,0.000435,0.000165,0.108079
0.140000,0.000045,0.000864,-0.001167,0.105667
0.145000,0.000034,0.001494,-0.002838,0.102509
0.150000,0.000014,0.001903,-0.004808,0.101091
0.155000,-0.000017,0.002500,-0.007073,0.095315
0.160000,-0.000060,0.002884,-0.009613,0.093385
0.165000,-0.000116,0.003442,-0.012370,0.090068
0.170000,-0.000187,0.003796,-0.015317,0.083693
0.175000,-0.000273,0.004286,-0.018425,0.078688
0.180000,-0.000374,0.004596,-0.021709,0.076326
0.185000,-0.000493,0.005056,-0.025111,0.074887
0.190000,-0.000629,0.005343,-0.028559,0.068980
0.195000,-0.000782,0.005749,-0.032124,0.065322
0.200000,-0.000954,0.006005,-0.035799,0.063092
0.205000,-0.001144,-0.009645,-0.039387,0.014269
0.210000,-0.001351,-0.009595,-0.042823,0.008727
0.215000,-0.001575,-0.009550,-0.046107,0.006846
0.220000,-0.001815,-0.009522,-0.049265,0.004593
0.225000,-0.002071,-0.009505,-0.052252,0.000420
0.230000,-0.002340,-0.009508,-0.055069,-0.004694
0.235000,-0.002624,-0.009535,-0.057723,-0.004829
0.240000,-0.002920,-0.009559,-0.060171,-0.007918
0.245000,-0.003228,-0.009604,-0.062464,-0.007818
0.250000,-0.003546,-0.009626,-0.064607,-0.009276
0.255000,-0.003876,-0.009691,-0.066599,-0.012480
0.260000,-0.004214,-0.009729,-0.068450,-0.012574
0.265000,-0.004561,-0.009812,-0.070124,-0.017474
0.270000,-0.004917,-0.009887,-0.071598,-0.017959
0.275000,-0.005279,-0.010004,-0.072890,-0.022430
0.280000,-0.005646,-0.010099,-0.074009,-0.026490
0.285000,-0.006019,-0.010267,-0.074979,-0.030269
0.290000,-0.006397,-0.010394,-0.075813,-0.034173
0.295000,-0.006778,-0.010604,-0.076524,-0.035208
0.300000,-0.007163,-0.010739,-0.077105,-0.034473
0.305000,-0.007549,-0.027258,-0.077536,-0.062188
0.310000,-0.007938,-0.027515,-0.077787,-0.062879
0.314999,-0.008327,-0.027887,-0.077824,-0.064083
0.319999,-0.008716,-0.028145,-0.077622,-0.064486
0.324999,-0.009103,-0.028535,-0.077167,-0.062917
0.329999,-0.009486,-0.028785,-0.076452,-0.063428
0.334999,-0.009866,-0.029159,-0.075463,-0.060952
0.339999,-0.010239,-0.029395,-0.074207,-0.058842
0.344999,-0.010606,-0.029748,-0.072684,-0.059329
0.349999,-0.010964,-0.029988,-0.070896,-0.060085
0.354999,-0.011313,-0.030346,-0.068877,-0.058354
0.359999,-0.011650,-0.030578,-0.066574,-0.058083
0.364999,-0.011976,-0.030927,-0.064025,-0.060915
0.369999,-0.012287,-0.031167,-0.061212,-0.062265
0.374999,-0.012584,-0.031536,-0.058113,-0.058911
0.379999,-0.012865,-0.031769,-0.054715,-0.056921
0.384999,-0.013127,-0.032105,-0.051045,-0.053608
0.389999,-0.013371,-0.032320,-0.047109,-0.052808
0.394998,-0.013594,-0.032633,-0.042980,-0.050643
0.399998,-0.013796,-0.032815,-0.038753,-0.045521
0.404998,-0.013977,-0.027197,-0.034306,0.013972
0.409998,-0.014135,-0.027145,-0.029678,0.017636
0.414998,-0.014269,-0.027033,-0.024959,0.021155
0.419998,-0.014379,-0.026949,-0.020144,0.025050
0.424998,-0.014465,-0.026789,-0.015248,0.030985
0.429998,-0.014527,-0.026662,-0.010396,0.033176
0.434998,-0.014565,-0.026463,-0.005608,0.033968
0.439998,-0.014578,-0.026323,-0.000935,0.037088
0.444998,-0.014570,-0.026086,0.003588,0.043013
0.449998,-0.014538,-0.025916,0.007976,0.044967
0.454998,-0.014486,-0.025632,0.012154,0.052978
0.459998,-0.014413,-0.025414,0.016099,0.057972
0.464998,-0.014321,-0.025056,0.019791,0.063790
0.469997,-0.014212,-0.024775,0.023246,0.068040
0.474997,-0.014086,-0.024368,0.026443,0.071970
0.479997,-0.013945,-0.024061,0.029312,0.077005
0.484997,-0.013791,-0.023602,0.031894,0.078163
0.489997,-0.013624,-0.023293,0.034196,0.080955
0.494997,-0.013447,-0.022815,0.036192,0.079502
0.499997,-0.013261,-0.022495,0.037881,0.078111
0.504997,-0.013067,-0.021211,0.039330,0.106996
0.509997,-0.012867,-0.020787,0.040538,0.106952
0.514997,-0.012661,-0.020144,0.041521,0.107326
0.519997,-0.012451,-0.019714,0.042286,0.107478
0.524997,-0.012238,-0.019071,0.042810,0.105707
0.529997,-0.012023,-0.018648,0.043109,0.105823
0.534997,-0.011807,-0.018014,0.043185,0.104284
0.539997,-0.011592,-0.017596,0.043026,0.104078
0.544997,-0.011378,-0.016978,0.042620,0.100179
0.549996,-0.011166,-0.016579,0.041962,0.099761
0.554996,-0.010959,-0.015993,0.041060,0.094509
0.559996,-0.010757,-0.015620,0.039921,0.091871
0.564996,-0.010561,-0.015070,0.038565,0.089073
0.569996,-0.010373,-0.014710,0.037030,0.086588
0.574996,-0.010193,-0.014200,0.035308,0.081168
0.579996,-0.010022,-0.013879,0.033377,0.079145
0.584996,-0.009862,-0.013407,0.031280,0.078697
0.589996,-0.009712,-0.013084,0.029021,0.077669
0.594996,-0.009574,-0.012629,0.026635,0.072162
0.599996,-0.009448,-0.012330,0.024188,0.068194
0.604996,-0.009335,0.014726,0.021658,0.055517
0.609996,-0.009234,0.014936,0.019084,0.052443
0.614996,-0.009147,0.015243,0.016409,0.047261
0.619996,-0.009073,0.015435,0.013667,0.045129
0.624996,-0.009013,0.015694,0.010847,0.039301
0.629995,-0.008967,0.015839,0.007987,0.037071
0.634995,-0.008936,0.016056,0.005033,0.034299
0.639995,-0.008920,0.016185,0.001948,0.031409
0.644995,-0.008920,0.016360,-0.001267,0.026482
0.649995,-0.008936,0.016456,-0.004612,0.022015
0.654995,-0.008970,0.016587,-0.008137,0.019379
0.659995,-0.009022,0.016660,-0.011771,0.017147
0.664995,-0.009092,0.016748,-0.015499,0.011419
