time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000022,0.300105
0.010000,0.000044,0.300182
0.015000,0.000088,0.300305
0.020000,0.000113,0.300393
0.025000,0.000170,0.300535
0.030000,0.000195,0.300635
0.035000,0.000224,0.300794
0.040000,0.000244,0.300907
0.045000,0.000274,0.301084
0.050000,0.000297,0.301208
0.055000,0.000329,0.301404
0.060000,0.000357,0.301540
0.065000,0.000402,0.301754
0.070000,0.000443,0.301903
0.075000,0.000539,0.302135
0.080000,0.000621,0.302295
0.085000,0.000756,0.302545
0.090000,0.000865,0.302718
0.095000,0.001057,0.302986
0.100000,0.001194,0.303171
0.105000,0.063204,0.299203
0.110000,0.063253,0.299333
0.115000,0.063333,0.299533
0.120000,0.063397,0.299670
0.125000,0.063469,0.299879
0.130000,0.063501,0.300022
0.135000,0.063559,0.300240
0.140000,0.063596,0.300389
0.145000,0.063677,0.300617
0.150000,0.063745,0.300772
0.155000,0.063824,0.301009
0.160000,0.063882,0.301170
0.165000,0.064004,0.301416
0.170000,0.064091,0.301583
0.175000,0.064180,0.301839
0.180000,0.064245,0.302012
0.185000,0.064399,0.302277
0.190000,0.064504,0.302457
0.195000,0.064662,0.302731
0.200000,0.064792,0.302917
0.205000,0.019120,0.298755
0.210000,0.019451,0.298902
0.215000,0.019978,0.299127
0.220000,0.020343,0.299279
0.225000,0.020928,0.299509
0.230000,0.021345,0.299665
0.235000,0.021979,0.299902
0.240000,0.022422,0.300063
0.245000,0.023086,0.300306
0.250000,0.023517,0.300471
0.255000,0.024219,0.300721
0.260000,0.024693,0.300889
0.265000,0.025364,0.301146
0.270000,0.025819,0.301319
0.275000,0.026484,0.301582
0.280000,0.026955,0.301759
0.285000,0.027679,0.302029
0.290000,0.028163,0.302211
0.295000,0.028941,0.302487
0.300000,0.029451,0.302673
0.305000,0.053219,0.298428
0.310000,0.053724,0.298583
0.314999,0.054484,0.298819
0.319999,0.055001,0.298978
0.324999,0.055778,0.299218
0.329999,0.056300,0.299380
0.334999,0.057072,0.299626
0.339999,0.057585,0.299791
0.344999,0.058335,0.300042
0.349999,0.058829,0.300211
0.354999,0.059523,0.300467
0.359999,0.059976,0.300640
0.364999,0.060677,0.300901
0.369999,0.061135,0.301077
0.374999,0.061814,0.301343
0.379999,0.062270,0.301522
0.384999,0.062914,0.301794
0.389999,0.063338,0.301977
0.394998,0.063962,0.302254
0.399998,0.064391,0.302441
0.404998,0.034819,0.298154
0.409998,0.035288,0.298313
0.414998,0.035996,0.298555
0.419998,0.036477,0.298718
0.424998,0.037186,0.298964
0.429998,0.037649,0.299129
0.434998,0.038334,0.299379
0.439998,0.038797,0.299548
0.444998,0.039492,0.299803
0.449998,0.039950,0.299974
0.454998,0.040638,0.300233
0.459998,0.041101,0.300407
0.464998,0.041807,0.300671
0.469997,0.042259,0.300849
0.474997,0.042962,0.301117
0.479997,0.043475,0.301297
0.484997,0.044265,0.301570
0.489997,0.044783,0.301754
0.494997,0.045567,0.302032
0.499997,0.046098,0.302218
0.504997,0.066457,0.297910
0.509997,0.066550,0.298073
0.514997,0.066673,0.298318
0.519997,0.066731,0.298483
0.524997,0.066832,0.298732
0.529997,0.066905,0.298899
0.534997,0.067008,0.299152
0.539997,0.067087,0.299322
0.544997,0.067246,0.299579
0.549996,0.067346,0.299752
0.554996,0.067503,0.300013
0.559996,0.067621,0.300189
0.564996,0.067760,0.300454
0.569996,0.067832,0.300632
0.574996,0.067890,0.300902
0.579996,0.067931,0.301083
0.584996,0.068013,0.301356
0.589996,0.068063,0.301540
0.594996,0.068159,0.301818
0.599996,0.068224,0.302005
0.604996,0.076933,0.297688
0.609996,0.077010,0.297851
0.614996,0.077136,0.298099
0.619996,0.077244,0.298265
0.624996,0.077444,0.298516
0.629995,0.077580,0.298685
0.634995,0.077786,0.298939
0.639995,0.077923,0.299111
0.644995,0.078163,0.299369
0.649995,0.078319,0.299543
0.654995,0.078524,0.299805
0.659995,0.078650,0.299981
0.664995,0.078848,0.300248
